"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Romania (RO)","Generation - Solar  [MW] Current / Romania (RO)","Generation - Wind Offshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Offshore  [MW] Current / Romania (RO)","Generation - Wind Onshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Onshore  [MW] Current / Romania (RO)"
"02.01.2022 18:30 - 02.01.2022 18:45","0","0","n/e","n/e","391","391"
"02.01.2022 18:45 - 02.01.2022 19:00","0","0","n/e","n/e","391","391"
"02.01.2022 19:00 - 02.01.2022 19:15","0","0","n/e","n/e","566","566"
"02.01.2022 19:15 - 02.01.2022 19:30","0","0","n/e","n/e","567","567"
"02.01.2022 19:30 - 02.01.2022 19:45","0","0","n/e","n/e","567","567"
"02.01.2022 19:45 - 02.01.2022 20:00","0","0","n/e","n/e","567","567"
"02.01.2022 20:00 - 02.01.2022 20:15","0","0","n/e","n/e","826","826"
"02.01.2022 20:15 - 02.01.2022 20:30","0","0","n/e","n/e","830","830"
"02.01.2022 20:30 - 02.01.2022 20:45","0","0","n/e","n/e","833","833"
"02.01.2022 20:45 - 02.01.2022 21:00","0","0","n/e","n/e","837","837"
"02.01.2022 21:00 - 02.01.2022 21:15","0","0","n/e","n/e","1168","1168"
"02.01.2022 21:15 - 02.01.2022 21:30","0","0","n/e","n/e","1170","1170"
"02.01.2022 21:30 - 02.01.2022 21:45","0","0","n/e","n/e","1171","1171"
"02.01.2022 21:45 - 02.01.2022 22:00","0","0","n/e","n/e","1172","1172"
"02.01.2022 22:00 - 02.01.2022 22:15","0","0","n/e","n/e","1392","1392"
"02.01.2022 22:15 - 02.01.2022 22:30","0","0","n/e","n/e","1392","1392"
"02.01.2022 22:30 - 02.01.2022 22:45","0","0","n/e","n/e","1393","1393"
"02.01.2022 22:45 - 02.01.2022 23:00","0","0","n/e","n/e","1393","1393"
"02.01.2022 23:00 - 02.01.2022 23:15","0","0","n/e","n/e","1463","1479"
"02.01.2022 23:15 - 02.01.2022 23:30","0","0","n/e","n/e","1463","1479"
"02.01.2022 23:30 - 02.01.2022 23:45","0","0","n/e","n/e","1463","1480"
"02.01.2022 23:45 - 03.01.2022 00:00","0","0","n/e","n/e","1463","1480"
"03.01.2022 00:00 - 03.01.2022 00:15","0","0","n/e","n/e","1672","1644"
"03.01.2022 00:15 - 03.01.2022 00:30","0","0","n/e","n/e","1672","1643"
"03.01.2022 00:30 - 03.01.2022 00:45","0","0","n/e","n/e","1671","1643"
"03.01.2022 00:45 - 03.01.2022 01:00","0","0","n/e","n/e","1671","1643"
"03.01.2022 01:00 - 03.01.2022 01:15","0","0","n/e","n/e","1649","1647"
"03.01.2022 01:15 - 03.01.2022 01:30","0","0","n/e","n/e","1649","1644"
"03.01.2022 01:30 - 03.01.2022 01:45","0","0","n/e","n/e","1649","1644"
"03.01.2022 01:45 - 03.01.2022 02:00","0","0","n/e","n/e","1649","1644"
"03.01.2022 02:00 - 03.01.2022 02:15","0","0","n/e","n/e","1679","1676"
"03.01.2022 02:15 - 03.01.2022 02:30","0","0","n/e","n/e","1679","1676"
"03.01.2022 02:30 - 03.01.2022 02:45","0","0","n/e","n/e","1679","1676"
"03.01.2022 02:45 - 03.01.2022 03:00","0","0","n/e","n/e","1679","1671"
"03.01.2022 03:00 - 03.01.2022 03:15","0","0","n/e","n/e","1756","1726"
"03.01.2022 03:15 - 03.01.2022 03:30","0","0","n/e","n/e","1757","1726"
"03.01.2022 03:30 - 03.01.2022 03:45","0","0","n/e","n/e","1757","1727"
"03.01.2022 03:45 - 03.01.2022 04:00","0","0","n/e","n/e","1758","1727"
"03.01.2022 04:00 - 03.01.2022 04:15","0","0","n/e","n/e","1880","1872"
"03.01.2022 04:15 - 03.01.2022 04:30","0","0","n/e","n/e","1880","1872"
"03.01.2022 04:30 - 03.01.2022 04:45","0","0","n/e","n/e","1880","1872"
"03.01.2022 04:45 - 03.01.2022 05:00","0","0","n/e","n/e","1880","1875"
"03.01.2022 05:00 - 03.01.2022 05:15","0","0","n/e","n/e","1893","1891"
"03.01.2022 05:15 - 03.01.2022 05:30","0","0","n/e","n/e","1893","1891"
"03.01.2022 05:30 - 03.01.2022 05:45","0","0","n/e","n/e","1893","1891"
"03.01.2022 05:45 - 03.01.2022 06:00","0","0","n/e","n/e","1893","1891"
"03.01.2022 06:00 - 03.01.2022 06:15","0","0","n/e","n/e","1913","1913"
"03.01.2022 06:15 - 03.01.2022 06:30","1","1","n/e","n/e","1914","1914"
"03.01.2022 06:30 - 03.01.2022 06:45","1","1","n/e","n/e","1914","1914"
"03.01.2022 06:45 - 03.01.2022 07:00","3","3","n/e","n/e","1914","1914"
"03.01.2022 07:00 - 03.01.2022 07:15","17","17","n/e","n/e","1912","1912"
"03.01.2022 07:15 - 03.01.2022 07:30","19","19","n/e","n/e","1912","1912"
"03.01.2022 07:30 - 03.01.2022 07:45","22","22","n/e","n/e","1912","1912"
"03.01.2022 07:45 - 03.01.2022 08:00","25","25","n/e","n/e","1912","1912"
"03.01.2022 08:00 - 03.01.2022 08:15","80","80","n/e","n/e","1908","1908"
"03.01.2022 08:15 - 03.01.2022 08:30","84","84","n/e","n/e","1908","1908"
"03.01.2022 08:30 - 03.01.2022 08:45","87","87","n/e","n/e","1907","1907"
"03.01.2022 08:45 - 03.01.2022 09:00","91","91","n/e","n/e","1907","1907"
"03.01.2022 09:00 - 03.01.2022 09:15","177","177","n/e","n/e","1835","1835"
"03.01.2022 09:15 - 03.01.2022 09:30","180","180","n/e","n/e","1835","1835"
"03.01.2022 09:30 - 03.01.2022 09:45","182","182","n/e","n/e","1835","1835"
"03.01.2022 09:45 - 03.01.2022 10:00","184","184","n/e","n/e","1835","1835"
"03.01.2022 10:00 - 03.01.2022 10:15","258","258","n/e","n/e","1631","1631"
"03.01.2022 10:15 - 03.01.2022 10:30","259","259","n/e","n/e","1630","1630"
"03.01.2022 10:30 - 03.01.2022 10:45","261","261","n/e","n/e","1629","1629"
"03.01.2022 10:45 - 03.01.2022 11:00","261","261","n/e","n/e","1629","1629"
"03.01.2022 11:00 - 03.01.2022 11:15","290","290","n/e","n/e","1456","1456"
"03.01.2022 11:15 - 03.01.2022 11:30","289","289","n/e","n/e","1455","1455"
"03.01.2022 11:30 - 03.01.2022 11:45","288","288","n/e","n/e","1455","1455"
"03.01.2022 11:45 - 03.01.2022 12:00","287","287","n/e","n/e","1455","1455"
"03.01.2022 12:00 - 03.01.2022 12:15","264","264","n/e","n/e","1297","1297"
"03.01.2022 12:15 - 03.01.2022 12:30","263","263","n/e","n/e","1297","1297"
"03.01.2022 12:30 - 03.01.2022 12:45","261","261","n/e","n/e","1296","1296"
"03.01.2022 12:45 - 03.01.2022 13:00","258","258","n/e","n/e","1296","1296"
"03.01.2022 13:00 - 03.01.2022 13:15","197","197","n/e","n/e","1194","1194"
"03.01.2022 13:15 - 03.01.2022 13:30","195","195","n/e","n/e","1194","1194"
"03.01.2022 13:30 - 03.01.2022 13:45","192","192","n/e","n/e","1194","1194"
"03.01.2022 13:45 - 03.01.2022 14:00","189","189","n/e","n/e","1194","1194"
"03.01.2022 14:00 - 03.01.2022 14:15","89","89","n/e","n/e","1196","1196"
"03.01.2022 14:15 - 03.01.2022 14:30","87","87","n/e","n/e","1197","1197"
"03.01.2022 14:30 - 03.01.2022 14:45","84","84","n/e","n/e","1198","1198"
"03.01.2022 14:45 - 03.01.2022 15:00","82","82","n/e","n/e","1198","1198"
"03.01.2022 15:00 - 03.01.2022 15:15","15","15","n/e","n/e","1320","1320"
"03.01.2022 15:15 - 03.01.2022 15:30","14","14","n/e","n/e","1320","1320"
"03.01.2022 15:30 - 03.01.2022 15:45","14","14","n/e","n/e","1321","1321"
"03.01.2022 15:45 - 03.01.2022 16:00","13","13","n/e","n/e","1321","1321"
"03.01.2022 16:00 - 03.01.2022 16:15","1","1","n/e","n/e","1428","1428"
"03.01.2022 16:15 - 03.01.2022 16:30","1","1","n/e","n/e","1428","1428"
"03.01.2022 16:30 - 03.01.2022 16:45","1","1","n/e","n/e","1428","1428"
"03.01.2022 16:45 - 03.01.2022 17:00","1","1","n/e","n/e","1428","1428"
"03.01.2022 17:00 - 03.01.2022 17:15","0","0","n/e","n/e","1410","1410"
"03.01.2022 17:15 - 03.01.2022 17:30","0","0","n/e","n/e","1410","1410"
"03.01.2022 17:30 - 03.01.2022 17:45","0","0","n/e","n/e","1410","1410"
"03.01.2022 17:45 - 03.01.2022 18:00","0","0","n/e","n/e","1410","1410"
"03.01.2022 18:00 - 03.01.2022 18:15","0","0","n/e","n/e","1339","1339"
"03.01.2022 18:15 - 03.01.2022 18:30","0","0","n/e","n/e","1339","1339"
"03.01.2022 18:30 - 03.01.2022 18:45","0","0","n/e","n/e","1340","1340"
"03.01.2022 18:45 - 03.01.2022 19:00","0","0","n/e","n/e","1340","1340"
"03.01.2022 19:00 - 03.01.2022 19:15","0","0","n/e","n/e","1338","1338"
"03.01.2022 19:15 - 03.01.2022 19:30","0","0","n/e","n/e","1338","1338"
"03.01.2022 19:30 - 03.01.2022 19:45","0","0","n/e","n/e","1338","1338"
"03.01.2022 19:45 - 03.01.2022 20:00","0","0","n/e","n/e","1338","1338"
"03.01.2022 20:00 - 03.01.2022 20:15","0","0","n/e","n/e","1274","1274"
"03.01.2022 20:15 - 03.01.2022 20:30","0","0","n/e","n/e","1274","1274"
"03.01.2022 20:30 - 03.01.2022 20:45","0","0","n/e","n/e","1274","1274"
"03.01.2022 20:45 - 03.01.2022 21:00","0","0","n/e","n/e","1274","1274"
"03.01.2022 21:00 - 03.01.2022 21:15","0","0","n/e","n/e","1252","1252"
"03.01.2022 21:15 - 03.01.2022 21:30","0","0","n/e","n/e","1252","1252"
"03.01.2022 21:30 - 03.01.2022 21:45","0","0","n/e","n/e","1252","1252"
"03.01.2022 21:45 - 03.01.2022 22:00","0","0","n/e","n/e","1252","1252"
"03.01.2022 22:00 - 03.01.2022 22:15","0","0","n/e","n/e","1278","1278"
"03.01.2022 22:15 - 03.01.2022 22:30","0","0","n/e","n/e","1278","1278"
"03.01.2022 22:30 - 03.01.2022 22:45","0","0","n/e","n/e","1278","1278"
"03.01.2022 22:45 - 03.01.2022 23:00","0","0","n/e","n/e","1278","1278"
"03.01.2022 23:00 - 03.01.2022 23:15","0","0","n/e","n/e","1280","1373"
"03.01.2022 23:15 - 03.01.2022 23:30","0","0","n/e","n/e","1280","1381"
"03.01.2022 23:30 - 03.01.2022 23:45","0","0","n/e","n/e","1279","1391"
